Agent,MoA,MoA_Bucket,Source
BMS-986016; Dasatinib,Lag3; Bcr-Abl TKI,IO,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=754229; https://en.wikipedia.org/wiki/Dasatinib
Brentuximab Vedotin,CD30,Targeted,http://www.ema.europa.eu/ema/index.jsp?curl=pages/medicines/human/medicines/002455/human_med_001588.jsp&mid=WC0b01ac058001d124
Carboplatin + Cisplatin + Pemetrexed,Chemo,Chemo,https://en.wikipedia.org/wiki/List_of_chemotherapeutic_agents
Carboplatin + paclitaxel; Carboplatin + pemetrexed; Carboplatin + nab-paclitaxel,Chemo,Chemo,
CC-486,Chemo,Chemo,http://www.ncbi.nlm.nih.gov/pubmed/26442612
Cediranib; Olaparib,VEGF; PARP,Targeted,https://en.wikipedia.org/wiki/Cediranib; https://en.wikipedia.org/wiki/Olaparib
Ceritinib,ALK,Targeted,https://www.mycancergenome.org/content/molecular-medicine/overview-of-targeted-therapies-for-cancer/
Chemo,Chemo,Chemo,
Cisplatin + 5FU,Chemo,Chemo,https://en.wikipedia.org/wiki/Cisplatin; https://en.wikipedia.org/wiki/Fluorouracil
Cisplatin + 5FU; Cisplatin + capecitabine,Chemo,Chemo,https://en.wikipedia.org/wiki/Capecitabine
Cisplatin + Pemetrexed; Carboplatin + Paclitaxel,Chemo,Chemo,https://en.wikipedia.org/wiki/List_of_chemotherapeutic_agents
CMB305,TLR4/NY-ESO-1,IO,http://immunedesign.com/pipeline/
Cobimetinib,MEK,Targeted,https://en.wikipedia.org/wiki/Cobimetinib
CPI-444,ADORA2A,Targeted,http://www.biocentury.com/products/cpi-444
Crizotinib,ALK,Targeted,
Crizotinib; PF-06463922,ALK; ALK/ROS1,Targeted,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=756930
CRS-207 + GVAX Pancreas Vaccine,Mesothelin Listeria; GM-CSF,Other,http://www.biocentury.com/products/crs-207; http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=368623
Dabrafenib + Trametinib; Trametinib,Braf / MEK,Targeted,
Dabrafenib; Dabrafenib + Trametinib; Trametinib,Braf / MEK,Targeted,
Daratumumab,CD38,Targeted,
Dinaciclib,CDK1/5,Targeted,
Entinostat,HDAC,Targeted,
Eribulin,microtubuole,Chemo,
Erlotinib,EGFR-TKI,Targeted,https://en.wikipedia.org/wiki/Erlotinib
FPA008,CSF-1R,IO,http://www.fiveprime.com/pipeline/fpa008
G100,TLR4,IO,http://ir.immunedesign.com/releasedetail.cfm?releaseid=895850
Galunisertib,TGFBR1,Targeted,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4539082/
GDC-0919,IDO Inhibitor,IO,https://www.sitcancer.org/meetings/am09/presentations/fri/Munn.pdf
Gefitinib,EGFR-TKI,Targeted,https://en.wikipedia.org/wiki/Gefitinib
Gemcitabine + Cisplatin; Pemetrexed + Cisplatin; Carboplatin + Paclitaxel; Bevacizumab; Erlotinib; Ipilimumab,"Chemo, VEGF, CTLA-4",IO,
Ibrutinib,BTK Inhibitor,Targeted,http://www.chemocare.com/chemotherapy/drug-info/imbruvica.aspx
Ibrutinib; Lanalidomide + Rituximab; Bendamustine + Rituximab,Bendamustine is an alkylating agent,Targeted & Chemo,
Imbruvica,BTK Inhibitor,Targeted,http://www.chemocare.com/chemotherapy/drug-info/imbruvica.aspx
IMCgp100; Tremelimumab + IMCgp100,IMMTAC;CTLA-4,IO,https://investor.lilly.com/releasedetail.cfm?releaseid=919781
INC280; EGF816,c-MET Inhibitor; EGFR inhibitor,Targeted,http://www.ncbi.nlm.nih.gov/pubmed/26138303; http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=760001
INCB024360,IDO,IO,http://www.sitcancer.org/meetings/am11/presentations/index.php?filename=HT-11.20%20-%20Koblish.pdf
INCB039110,JAK1 Inhibitor,Targeted,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=740328
INCB24360,IDO,IO,http://www.sitcancer.org/meetings/am11/presentations/index.php?filename=HT-11.20%20-%20Koblish.pdf
Inlyta,TKI,Targeted,https://en.wikipedia.org/wiki/Axitinib
Ipilimumab,CTLA-4,IO,
Ipilimumab + Lirilumab,CTLA-4 + anti-KIR,IO,
Ipilimumab; Interferon alfa-2b,,IO,
Ipilimumab; Pazopanib; Sunitinib,,IO,
Ipilimumab; PegIFN-2b,,IO,
Ipilimumab; Platinum doublet chemotherapy,CTLA-4;Chemo,IO,
Lenalidomide,,Chemo,
Lenalidomide + Dexamethasone,,Chemo,
Lenalidomide; Dexamethasone + Lenalidomide,,Chemo,
Lenvatinib,VEGF pan,Targeted,https://en.wikipedia.org/wiki/Lenvatinib
Margetuximab,Her2,Targeted,
MEDI0680(AMP-514),PD1,IO,http://www.biocentury.com/products/medi0680
Mocetinostat,HDAC,Targeted,
Mogamulizumab,CCR4,IO,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=500479
MOXR0916,OX40,IO,http://www.biocentury.com/products/rg7888
Nab-paclitacel; Nab-paclitacel + Gemcitabine; Carboplatin + nab-Paclitaxel,Cytotoxic,Chemo,
Nab-paclitaxel,Cytotoxic,Chemo,http://chemocare.com/chemotherapy/drug-info/Paclitaxel-Proteinbound.aspx
Nab-paclitaxel + Carboplatin,Cytotoxic,Chemo,
Nab-paclitaxel + Gemcitabine; AZD5069,,Targeted,
Nab-paclitaxel; Nab-paclitaxel + Gemcitabine; Nab-paclitaxel + Carboplatin,Cytotoxic,Chemo,
Necitumumab,EGFR-TKI,Targeted,
Neoadjuvant chemoradiation,Chemoradiation,Other,
Nirparib,PARP,Targeted,http://www.mercknewsroom.com/news-release/oncology-newsroom/tesaro-and-merck-collaborate-combination-study-niraparib-and-keytruda
nivolumab,PD1,IO,
Not provided,Not provided,Other,
Obinutuzumab,CD20,Targeted,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3512181/
Obinutuzumab + Lenalidomide,,Targeted & Chemo,
Obinutuzumab + Polatuzumab Vedotin,,Targeted,
Olaparib,PARP,Targeted,https://en.wikipedia.org/wiki/Olaparib
Paclitaxel + Carboplatin + Bevacizumab; Paclitaxel + Carboplatin,Chemo,Targeted & Chemo,https://en.wikipedia.org/wiki/List_of_chemotherapeutic_agents
Paclitaxel + Carboplatin; Nab-paclitaxel + Carboplatin,Chemo,Chemo,https://en.wikipedia.org/wiki/List_of_chemotherapeutic_agents
Paclitaxel + carboplatin; paclitaxel + carboplatin + bevacizumab; carboplatin + pemetrexed; ipilimumab; erlotinib; gefitinib,"Chemo, VEGF, CTLA-4",IO,
Pazopanib,TKI,Targeted,"wiki, it's a pan-tyrosine kinase inhibitor"
PF-05082566,4-1BB,IO,http://www.pfizer.com/files/news/asco/PF-2566_Fact_Sheet_Content_5_21_15_FINAL.PDF
Platinum + 5FU,Chemo,Chemo,https://en.wikipedia.org/wiki/Fluorouracil
PLD,Chemo,Chemo,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=39424
PLX3397,CSF-1R,IO,http://www.biocentury.com/products/plx3397
Pomalidomide + Dexamethasone,,Chemo,
Pomalidomide; Pomalidomide + Dexamethasone,,Chemo,
Radiotherapy,Radiotherapy,Other,
Ramucirumab,,Targeted,
RO5509554,CSF-1R,IO,http://www.biocentury.com/products/rg7155
RO7009789,CD40,IO,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=767014
Rociletinib,,Targeted,
SBRT dose escalation; Tremelimumab + SBRT dose escalation,Radiotherapy; CTLA-4,IO,
SD-101,TLR9 Agonist,IO,
SGI-110,DNMT Inhibitor,Chemo,http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=691684
SOC maintenance therapy; Erlotinib; Crizotinib,EGFR,Targeted,
Surgical Resection,Other,Other,
TIL,TIL,IO,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1250634/
Trastuzumab; Trastuzumab + Pertuzumab,Her2,Targeted,
Tremelimumab,CTLA-4,IO,Other MoA Sheet
T-Vec,Virus,IO,http://www.onclive.com/web-exclusives/fda-approves-t-vec-for-advanced-melanoma
Ublituximab + TGR-1202,CD20 + PI3Kdelta,Targeted,
Varlilumab,CD27,IO,http://www.celldex.com/pipeline/cdx-1127.php
Vemurafenib; Vemurafenib + cobimetinib,,Targeted,
VS-6063,FAK,Targeted,http://annonc.oxfordjournals.org/content/25/suppl_4/iv555.2
Zydelig,PI3K Delta,Targeted,http://chemocare.com/chemotherapy/drug-info/zydelig.aspx
